phenomenonTime,sensor,trackId,bearingTrue,bearingStdDev,sensorLat,sensorLon,classification
2026-03-04T18:22:17.552Z,AZ-MA-1,1,291.29,3.99,31.6490196,-110.2758537,UAS
2026-03-04T18:22:22.552Z,AZ-MA-1,1,289.57,3.97,31.6490196,-110.2758537,UAS
2026-03-04T18:22:27.552Z,AZ-MA-1,1,291.6,3.96,31.6490196,-110.2758537,UAS
2026-03-04T18:22:32.552Z,AZ-MA-1,1,291.64,3.94,31.6490196,-110.2758537,UAS
2026-03-04T18:22:37.552Z,AZ-MA-1,1,291.17,3.93,31.6490196,-110.2758537,UAS
2026-03-04T18:22:42.552Z,AZ-MA-1,1,290.0,3.91,31.6490196,-110.2758537,UAS
2026-03-04T18:22:47.552Z,AZ-MA-1,1,291.2,3.9,31.6490196,-110.2758537,UAS
2026-03-04T18:22:52.552Z,AZ-MA-1,1,291.56,3.88,31.6490196,-110.2758537,UAS
2026-03-04T18:22:57.552Z,AZ-MA-1,1,291.25,3.87,31.6490196,-110.2758537,UAS
2026-03-04T18:23:02.552Z,AZ-MA-1,1,293.21,3.85,31.6490196,-110.2758537,UAS
2026-03-04T18:23:07.552Z,AZ-MA-1,1,291.15,3.84,31.6490196,-110.2758537,UAS
2026-03-04T18:23:12.552Z,AZ-MA-1,1,293.0,3.82,31.6490196,-110.2758537,UAS
2026-03-04T18:23:17.552Z,AZ-MA-1,1,293.57,3.81,31.6490196,-110.2758537,UAS
2026-03-04T18:23:22.552Z,AZ-MA-1,1,292.29,3.79,31.6490196,-110.2758537,UAS
2026-03-04T18:23:27.552Z,AZ-MA-1,1,291.34,3.78,31.6490196,-110.2758537,UAS
2026-03-04T18:23:32.552Z,AZ-MA-1,1,292.39,3.77,31.6490196,-110.2758537,UAS
2026-03-04T18:23:37.552Z,AZ-MA-1,1,294.71,3.75,31.6490196,-110.2758537,UAS
2026-03-04T18:23:42.552Z,AZ-MA-1,1,294.67,3.74,31.6490196,-110.2758537,UAS
2026-03-04T18:23:47.552Z,AZ-MA-1,1,292.86,3.72,31.6490196,-110.2758537,UAS
2026-03-04T18:23:52.552Z,AZ-MA-1,1,294.5,3.71,31.6490196,-110.2758537,UAS
2026-03-04T18:23:57.552Z,AZ-MA-1,1,293.83,3.69,31.6490196,-110.2758537,UAS
2026-03-04T18:24:02.552Z,AZ-MA-1,1,292.11,3.68,31.6490196,-110.2758537,UAS
2026-03-04T18:24:07.552Z,AZ-MA-1,1,292.18,3.66,31.6490196,-110.2758537,UAS
2026-03-04T18:24:12.552Z,AZ-MA-1,1,292.42,3.65,31.6490196,-110.2758537,UAS
2026-03-04T18:24:17.552Z,AZ-MA-1,1,293.16,3.63,31.6490196,-110.2758537,UAS
2026-03-04T18:24:22.552Z,AZ-MA-1,1,295.04,3.62,31.6490196,-110.2758537,UAS
